"Label (Grouping)","United States"
"Total:","331,449,281"
"    Hispanic or Latino","62,080,044"
"    Not Hispanic or Latino:","269,369,237"
"        Population of one race:","255,820,254"
"            White alone","191,697,647"
"            Black or African American alone","39,940,338"
"            American Indian and Alaska Native alone","2,251,699"
"            Asian alone","19,618,719"
"            Native Hawaiian and Other Pacific Islander alone","622,018"
"            Some Other Race alone","1,689,833"
"        Population of two or more races:","13,548,983"
"            Population of two races:","12,637,189"
"                White; Black or African American","2,781,839"
"                White; American Indian and Alaska Native","3,539,935"
"                White; Asian","2,521,775"
"                White; Native Hawaiian and Other Pacific Islander","198,640"
"                White; Some Other Race","2,284,608"
"                Black or African American; American Indian and Alaska Native","344,276"
"                Black or African American; Asian","224,198"
"                Black or African American; Native Hawaiian and Other Pacific Islander","40,790"
"                Black or African American; Some Other Race","354,439"
"                American Indian and Alaska Native; Asian","37,784"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","8,067"
"                American Indian and Alaska Native; Some Other Race","14,766"
"                Asian; Native Hawaiian and Other Pacific Islander","197,918"
"                Asian; Some Other Race","76,457"
"                Native Hawaiian and Other Pacific Islander; Some Other Race","11,697"
"            Population of three races:","830,158"
"                White; Black or African American; American Indian and Alaska Native","303,459"
"                White; Black or African American; Asian","104,194"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander","14,293"
"                White; Black or African American; Some Other Race","65,741"
"                White; American Indian and Alaska Native; Asian","72,235"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","12,094"
"                White; American Indian and Alaska Native; Some Other Race","17,723"
"                White; Asian; Native Hawaiian and Other Pacific Islander","175,677"
"                White; Asian; Some Other Race","19,468"
"                White; Native Hawaiian and Other Pacific Islander; Some Other Race","2,224"
"                Black or African American; American Indian and Alaska Native; Asian","9,824"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","2,438"
"                Black or African American; American Indian and Alaska Native; Some Other Race","7,495"
"                Black or African American; Asian; Native Hawaiian and Other Pacific Islander","9,342"
"                Black or African American; Asian; Some Other Race","7,177"
"                Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","1,365"
"                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","2,373"
"                American Indian and Alaska Native; Asian; Some Other Race","773"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","180"
"                Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","2,083"
"            Population of four races:","71,529"
"                White; Black or African American; American Indian and Alaska Native; Asian","24,056"
"                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","3,933"
"                White; Black or African American; American Indian and Alaska Native; Some Other Race","13,875"
"                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","7,242"
"                White; Black or African American; Asian; Some Other Race","4,627"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","587"
"                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","11,703"
"                White; American Indian and Alaska Native; Asian; Some Other Race","1,020"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","194"
"                White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,617"
"                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","1,046"
"                Black or African American; American Indian and Alaska Native; Asian; Some Other Race","618"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","177"
"                Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","684"
"                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","150"
"            Population of five races:","9,103"
"                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","5,247"
"                White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","2,604"
"                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","348"
"                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","433"
"                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","244"
"                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","227"
"            Population of six races:","1,004"
"                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,004"
