age,total,male,female
0,3673267,1877104,1796163
1,3590762,1836611,1754151
2,3727276,1905369,1821907
3,3788899,1934750,1854149
4,3877538,1982062,1895476
5,3955531,2024011,1931520
6,4058971,2074240,1984731
7,4094501,2091380,2003121
8,4082087,2090227,1991860
9,4068531,2079221,1989310
10,4075070,2085679,1989391
11,4119755,2113422,2006333
12,4205563,2154232,2051331
13,4294796,2198877,2095919
14,4457810,2283130,2174680
15,4449088,2279155,2169933
16,4373867,2237659,2136208
17,4332012,2215579,2116433
18,4358718,2227776,2130942
19,4319618,2207098,2112520
20,4297072,2194318,2102754
21,4373863,2232475,2141388
22,4375260,2231812,2143448
23,4307091,2194668,2112423
24,4299394,2188449,2110945
25,4308973,2189416,2119557
26,4338518,2205417,2133101
27,4415055,2242033,2173022
28,4507907,2289027,2218880
29,4580635,2324774,2255861
30,4684114,2370298,2313816
31,4752768,2399661,2353107
32,4765119,2403483,2361636
33,4630396,2337515,2292881
34,4547725,2295326,2252399
35,4495746,2273571,2222175
36,4504254,2279432,2224822
37,4499384,2273648,2225736
38,4404545,2222171,2182374
39,4468376,2252449,2215927
40,4458551,2244872,2213679
41,4392104,2209659,2182445
42,4370601,2197196,2173405
43,4190217,2100288,2089929
44,4094785,2050573,2044212
45,4041418,2018136,2023282
46,3902059,1948616,1953443
47,3942391,1966993,1975398
48,3865398,1926493,1938905
49,3915707,1949117,1966590
50,4103259,2046175,2057084
51,4345925,2172363,2173562
52,4275317,2135365,2139952
53,4112903,2050307,2062596
54,4022705,2001771,2020934
55,4034118,1999468,2034650
56,4091067,2024731,2066336
57,4246247,2090425,2155822
58,4344195,2135574,2208621
59,4342482,2128402,2214080
60,4353000,2129794,2223206
61,4340009,2117750,2222259
62,4257245,2073442,2183803
63,4170981,2021631,2149350
64,4128688,1994883,2133805
65,4047188,1946638,2100550
66,3862354,1845439,2016915
67,3766096,1791374,1974722
68,3624895,1714231,1910664
69,3465628,1630930,1834698
70,3327116,1559938,1767178
71,3159661,1470304,1689357
72,3003225,1392332,1610893
73,2910429,1344275,1566154
74,2833248,1307408,1525840
75,2968184,1376664,1591520
76,2084065,946932,1137133
77,1983209,893339,1089870
78,1910820,854039,1056781
79,1908049,846515,1061534
80,1611599,706126,905473
81,1424412,615406,809006
82,1282628,545852,736776
83,1169080,492614,676466
84,1069440,442292,627148
85,931330,378667,552663
86,836902,334494,502408
87,747466,291378,456088
88,623651,238214,385437
89,557023,207846,349177
90,484570,174814,309756
91,415163,145182,269981
92,349548,117676,231872
93,279592,90346,189246
94,227529,69954,157575
95,177396,51961,125435
96,132035,36891,95144
97,99173,26158,73015
98,70303,17622,52681
99,48372,11774,36598
100+,78805,16232,62573
